agent PreviousPosition:None, CurrentPosition:AD --> g = 0, h = 4798, f = 4798, action: None
agent PreviousPosition:E, CurrentPosition:E --> g = 3236, h = 1162, f = 4398, action: ('take', <package.Package instance at 0xf32c8908>)
agent PreviousPosition:E, CurrentPosition:H --> g = 3405, h = 993, f = 4398, action: ('moveAndDrop', 'H')
agent PreviousPosition:L, CurrentPosition:L --> g = 3164, h = 1234, f = 4398, action: ('take', <package.Package instance at 0xf46b1680>)
agent PreviousPosition:L, CurrentPosition:S --> g = 3105, h = 1294, f = 4399, action: ('moveAndDrop', 'S')
agent PreviousPosition:H, CurrentPosition:H --> g = 3408, h = 993, f = 4401, action: ('take', <package.Package instance at 0x102581638>)
agent PreviousPosition:H, CurrentPosition:C --> g = 3590, h = 811, f = 4401, action: ('moveAndDrop', 'C')
agent PreviousPosition:S, CurrentPosition:L --> g = 3253, h = 1150, f = 4403, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:U --> g = 3243, h = 1162, f = 4405, action: ('moveAndDrop', 'U')
agent PreviousPosition:O, CurrentPosition:AD --> g = 3147, h = 1258, f = 4405, action: ('moveAndDrop', 'AD')
agent PreviousPosition:U, CurrentPosition:U --> g = 3245, h = 1162, f = 4407, action: ('take', <package.Package instance at 0xf33fa9e0>)
agent PreviousPosition:U, CurrentPosition:I --> g = 3305, h = 1102, f = 4407, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:I --> g = 3337, h = 1071, f = 4408, action: ('moveAndDrop', 'I')
agent PreviousPosition:L, CurrentPosition:L --> g = 2958, h = 1450, f = 4408, action: ('take', <package.Package instance at 0xefe6bdd0>)
agent PreviousPosition:I, CurrentPosition:U --> g = 3399, h = 1011, f = 4410, action: ('moveAndDrop', 'U')
agent PreviousPosition:Q, CurrentPosition:I --> g = 3253, h = 1162, f = 4415, action: ('moveAndDrop', 'I')
agent PreviousPosition:Q, CurrentPosition:AD --> g = 3173, h = 1246, f = 4419, action: ('moveAndDrop', 'AD')
agent PreviousPosition:S, CurrentPosition:Q --> g = 2935, h = 1486, f = 4421, action: ('moveAndDrop', 'Q')
agent PreviousPosition:S, CurrentPosition:L --> g = 2995, h = 1426, f = 4421, action: ('moveAndDrop', 'L')
agent PreviousPosition:S, CurrentPosition:A --> g = 3225, h = 1198, f = 4423, action: ('moveAndDrop', 'A')
agent PreviousPosition:L, CurrentPosition:L --> g = 2998, h = 1426, f = 4424, action: ('take', <package.Package instance at 0xeed0c878>)
agent PreviousPosition:L, CurrentPosition:I --> g = 3396, h = 1028, f = 4424, action: ('moveAndDrop', 'I')
agent PreviousPosition:Q, CurrentPosition:L --> g = 2915, h = 1510, f = 4425, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:A --> g = 2915, h = 1510, f = 4425, action: ('moveAndDrop', 'A')
agent PreviousPosition:L, CurrentPosition:S --> g = 2869, h = 1558, f = 4427, action: ('moveAndDrop', 'S')
agent PreviousPosition:L, CurrentPosition:L --> g = 2918, h = 1510, f = 4428, action: ('take', <package.Package instance at 0xead781b8>)
agent PreviousPosition:L, CurrentPosition:U --> g = 3009, h = 1419, f = 4428, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:L --> g = 3357, h = 1071, f = 4428, action: ('moveAndDrop', 'L')
agent PreviousPosition:S, CurrentPosition:S --> g = 2871, h = 1558, f = 4429, action: ('take', <package.Package instance at 0xeb8b1c20>)
agent PreviousPosition:O, CurrentPosition:A --> g = 3183, h = 1246, f = 4429, action: ('moveAndDrop', 'A')
agent PreviousPosition:U, CurrentPosition:U --> g = 3011, h = 1419, f = 4430, action: ('take', <package.Package instance at 0x10edc8b00>)
agent PreviousPosition:U, CurrentPosition:I --> g = 3071, h = 1359, f = 4430, action: ('moveAndDrop', 'I')
agent PreviousPosition:L, CurrentPosition:U --> g = 2869, h = 1563, f = 4432, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:Q --> g = 3013, h = 1419, f = 4432, action: ('moveAndDrop', 'Q')
agent PreviousPosition:S, CurrentPosition:O --> g = 3247, h = 1186, f = 4433, action: ('moveAndDrop', 'O')
agent PreviousPosition:U, CurrentPosition:U --> g = 2871, h = 1563, f = 4434, action: ('take', <package.Package instance at 0xed0593f8>)
agent PreviousPosition:Q, CurrentPosition:AD --> g = 2925, h = 1510, f = 4435, action: ('moveAndDrop', 'AD')
agent PreviousPosition:Q, CurrentPosition:C --> g = 2925, h = 1510, f = 4435, action: ('moveAndDrop', 'C')
agent PreviousPosition:L, CurrentPosition:I --> g = 3300, h = 1136, f = 4436, action: ('moveAndDrop', 'I')
agent PreviousPosition:S, CurrentPosition:L --> g = 3275, h = 1162, f = 4437, action: ('moveAndDrop', 'L')
agent PreviousPosition:I, CurrentPosition:L --> g = 3429, h = 1011, f = 4440, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:A --> g = 3161, h = 1282, f = 4443, action: ('moveAndDrop', 'A')
agent PreviousPosition:V, CurrentPosition:L --> g = 2741, h = 1702, f = 4443, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:U --> g = 2585, h = 1858, f = 4443, action: ('take', <package.Package instance at 0xe312da70>)
agent PreviousPosition:U, CurrentPosition:I --> g = 2645, h = 1798, f = 4443, action: ('moveAndDrop', 'I')
agent PreviousPosition:L, CurrentPosition:L --> g = 2177, h = 2266, f = 4443, action: ('take', <package.Package instance at 0xcc7dc908>)
agent PreviousPosition:L, CurrentPosition:U --> g = 2282, h = 2091, f = 4373, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:U --> g = 2284, h = 2091, f = 4375, action: ('take', <package.Package instance at 0x119e99ab8>)
agent PreviousPosition:U, CurrentPosition:I --> g = 2344, h = 2031, f = 4375, action: ('moveAndDrop', 'I')
agent PreviousPosition:U, CurrentPosition:I --> g = 2332, h = 2091, f = 4423, action: ('moveAndDrop', 'I')
agent PreviousPosition:I, CurrentPosition:U --> g = 2394, h = 2031, f = 4425, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:L --> g = 2352, h = 2091, f = 4443, action: ('moveAndDrop', 'L')
agent PreviousPosition:L, CurrentPosition:Q --> g = 2869, h = 1575, f = 4444, action: ('moveAndDrop', 'Q')
agent PreviousPosition:L, CurrentPosition:L --> g = 2526, h = 1918, f = 4444, action: ('take', <package.Package instance at 0xe4627d88>)
agent PreviousPosition:L, CurrentPosition:V --> g = 3283, h = 1162, f = 4445, action: ('moveAndDrop', 'V')
agent PreviousPosition:Q, CurrentPosition:H --> g = 3283, h = 1162, f = 4445, action: ('moveAndDrop', 'H')
agent PreviousPosition:Q, CurrentPosition:S --> g = 3079, h = 1366, f = 4445, action: ('moveAndDrop', 'S')
agent PreviousPosition:S, CurrentPosition:O --> g = 2971, h = 1474, f = 4445, action: ('moveAndDrop', 'O')
agent PreviousPosition:S, CurrentPosition:I --> g = 3043, h = 1402, f = 4445, action: ('moveAndDrop', 'I')
agent PreviousPosition:V, CurrentPosition:V --> g = 2635, h = 1810, f = 4445, action: ('take', <package.Package instance at 0xe4b1b830>)
agent PreviousPosition:L, CurrentPosition:L --> g = 2744, h = 1702, f = 4446, action: ('take', <package.Package instance at 0xe998dd88>)
agent PreviousPosition:L, CurrentPosition:U --> g = 2835, h = 1611, f = 4446, action: ('moveAndDrop', 'U')
agent PreviousPosition:L, CurrentPosition:L --> g = 2744, h = 1702, f = 4446, action: ('take', <package.Package instance at 0xe6b78440>)
agent PreviousPosition:S, CurrentPosition:S --> g = 3081, h = 1366, f = 4447, action: ('take', <package.Package instance at 0xf086f9e0>)
agent PreviousPosition:S, CurrentPosition:U --> g = 3249, h = 1198, f = 4447, action: ('moveAndDrop', 'U')
agent PreviousPosition:S, CurrentPosition:AD --> g = 3285, h = 1162, f = 4447, action: ('moveAndDrop', 'AD')
agent PreviousPosition:S, CurrentPosition:C --> g = 3237, h = 1210, f = 4447, action: ('moveAndDrop', 'C')
agent PreviousPosition:L, CurrentPosition:AD --> g = 3105, h = 1342, f = 4447, action: ('moveAndDrop', 'AD')
agent PreviousPosition:U, CurrentPosition:U --> g = 2837, h = 1611, f = 4448, action: ('take', <package.Package instance at 0x12229ce60>)
agent PreviousPosition:U, CurrentPosition:I --> g = 2897, h = 1551, f = 4448, action: ('moveAndDrop', 'I')
agent PreviousPosition:H, CurrentPosition:H --> g = 3286, h = 1162, f = 4448, action: ('take', <package.Package instance at 0xf32ec3f8>)
