agent PreviousPosition:S, CurrentPosition:C --> g = 85730, h = 0, f = 85730, action: ('moveAndDrop', 'C')
agent PreviousPosition:AC, CurrentPosition:L --> g = 19463, h = 3478, f = 22941, action: ('moveAndDrop', 'L')
agent PreviousPosition:AC, CurrentPosition:AC --> g = 19331, h = 3610, f = 22941, action: ('take', <package.Package instance at 0x834f170>)
agent PreviousPosition:AD, CurrentPosition:AC --> g = 19329, h = 3610, f = 22939, action: ('moveAndDrop', 'AC')
agent PreviousPosition:S, CurrentPosition:AD --> g = 19129, h = 3610, f = 22739, action: ('moveAndDrop', 'AD')
agent PreviousPosition:H, CurrentPosition:S --> g = 19029, h = 3610, f = 22639, action: ('moveAndDrop', 'S')
agent PreviousPosition:Z, CurrentPosition:H --> g = 18889, h = 3610, f = 22499, action: ('moveAndDrop', 'H')
agent PreviousPosition:U, CurrentPosition:Z --> g = 18569, h = 3610, f = 22179, action: ('moveAndDrop', 'Z')
agent PreviousPosition:O, CurrentPosition:U --> g = 18389, h = 3610, f = 21999, action: ('moveAndDrop', 'U')
agent PreviousPosition:L, CurrentPosition:O --> g = 18279, h = 3610, f = 21889, action: ('moveAndDrop', 'O')
agent PreviousPosition:Q, CurrentPosition:L --> g = 18219, h = 3610, f = 21829, action: ('moveAndDrop', 'L')
agent PreviousPosition:S, CurrentPosition:Q --> g = 18149, h = 3610, f = 21759, action: ('moveAndDrop', 'Q')
agent PreviousPosition:H, CurrentPosition:S --> g = 18109, h = 3610, f = 21719, action: ('moveAndDrop', 'S')
agent PreviousPosition:S, CurrentPosition:H --> g = 17969, h = 3610, f = 21579, action: ('moveAndDrop', 'H')
agent PreviousPosition:V, CurrentPosition:S --> g = 17829, h = 3610, f = 21439, action: ('moveAndDrop', 'S')
agent PreviousPosition:C, CurrentPosition:V --> g = 17649, h = 3610, f = 21259, action: ('moveAndDrop', 'V')
agent PreviousPosition:Z, CurrentPosition:C --> g = 17429, h = 3610, f = 21039, action: ('moveAndDrop', 'C')
agent PreviousPosition:H, CurrentPosition:Z --> g = 17189, h = 3610, f = 20799, action: ('moveAndDrop', 'Z')
agent PreviousPosition:L, CurrentPosition:H --> g = 16869, h = 3610, f = 20479, action: ('moveAndDrop', 'H')
agent PreviousPosition:V, CurrentPosition:L --> g = 16659, h = 3610, f = 20269, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:V --> g = 16569, h = 3610, f = 20179, action: ('moveAndDrop', 'V')
agent PreviousPosition:V, CurrentPosition:U --> g = 16409, h = 3610, f = 20019, action: ('moveAndDrop', 'U')
agent PreviousPosition:U, CurrentPosition:V --> g = 16249, h = 3610, f = 19859, action: ('moveAndDrop', 'V')
agent PreviousPosition:S, CurrentPosition:U --> g = 16089, h = 3610, f = 19699, action: ('moveAndDrop', 'U')
agent PreviousPosition:Z, CurrentPosition:S --> g = 15949, h = 3610, f = 19559, action: ('moveAndDrop', 'S')
agent PreviousPosition:V, CurrentPosition:Z --> g = 15749, h = 3610, f = 19359, action: ('moveAndDrop', 'Z')
agent PreviousPosition:I, CurrentPosition:V --> g = 15629, h = 3610, f = 19239, action: ('moveAndDrop', 'V')
agent PreviousPosition:Q, CurrentPosition:I --> g = 15459, h = 3610, f = 19069, action: ('moveAndDrop', 'I')
agent PreviousPosition:A, CurrentPosition:Q --> g = 15329, h = 3610, f = 18939, action: ('moveAndDrop', 'Q')
agent PreviousPosition:V, CurrentPosition:A --> g = 15259, h = 3610, f = 18869, action: ('moveAndDrop', 'A')
agent PreviousPosition:AD, CurrentPosition:V --> g = 15049, h = 3610, f = 18659, action: ('moveAndDrop', 'V')
agent PreviousPosition:H, CurrentPosition:AD --> g = 14869, h = 3610, f = 18479, action: ('moveAndDrop', 'AD')
agent PreviousPosition:AD, CurrentPosition:H --> g = 14649, h = 3610, f = 18259, action: ('moveAndDrop', 'H')
agent PreviousPosition:C, CurrentPosition:AD --> g = 14429, h = 3610, f = 18039, action: ('moveAndDrop', 'AD')
agent PreviousPosition:E, CurrentPosition:C --> g = 14289, h = 3610, f = 17899, action: ('moveAndDrop', 'C')
agent PreviousPosition:H, CurrentPosition:E --> g = 14199, h = 3610, f = 17809, action: ('moveAndDrop', 'E')
agent PreviousPosition:V, CurrentPosition:H --> g = 14069, h = 3610, f = 17679, action: ('moveAndDrop', 'H')
agent PreviousPosition:L, CurrentPosition:V --> g = 13769, h = 3610, f = 17379, action: ('moveAndDrop', 'V')
agent PreviousPosition:AC, CurrentPosition:L --> g = 13679, h = 3610, f = 17289, action: ('moveAndDrop', 'L')
agent PreviousPosition:H, CurrentPosition:AC --> g = 13569, h = 3610, f = 17179, action: ('moveAndDrop', 'AC')
agent PreviousPosition:E, CurrentPosition:H --> g = 13249, h = 3610, f = 16859, action: ('moveAndDrop', 'H')
agent PreviousPosition:C, CurrentPosition:E --> g = 13119, h = 3610, f = 16729, action: ('moveAndDrop', 'E')
agent PreviousPosition:L, CurrentPosition:C --> g = 13029, h = 3610, f = 16639, action: ('moveAndDrop', 'C')
agent PreviousPosition:AC, CurrentPosition:L --> g = 12899, h = 3610, f = 16509, action: ('moveAndDrop', 'L')
agent PreviousPosition:I, CurrentPosition:AC --> g = 12789, h = 3610, f = 16399, action: ('moveAndDrop', 'AC')
agent PreviousPosition:A, CurrentPosition:I --> g = 12599, h = 3610, f = 16209, action: ('moveAndDrop', 'I')
agent PreviousPosition:O, CurrentPosition:A --> g = 12479, h = 3610, f = 16089, action: ('moveAndDrop', 'A')
agent PreviousPosition:H, CurrentPosition:O --> g = 12379, h = 3610, f = 15989, action: ('moveAndDrop', 'O')
agent PreviousPosition:Q, CurrentPosition:H --> g = 12189, h = 3610, f = 15799, action: ('moveAndDrop', 'H')
agent PreviousPosition:AD, CurrentPosition:Q --> g = 12029, h = 3610, f = 15639, action: ('moveAndDrop', 'Q')
agent PreviousPosition:Z, CurrentPosition:AD --> g = 11949, h = 3610, f = 15559, action: ('moveAndDrop', 'AD')
agent PreviousPosition:C, CurrentPosition:Z --> g = 11749, h = 3610, f = 15359, action: ('moveAndDrop', 'Z')
agent PreviousPosition:V, CurrentPosition:C --> g = 11509, h = 3610, f = 15119, action: ('moveAndDrop', 'C')
agent PreviousPosition:H, CurrentPosition:V --> g = 11289, h = 3610, f = 14899, action: ('moveAndDrop', 'V')
agent PreviousPosition:S, CurrentPosition:H --> g = 10989, h = 3610, f = 14599, action: ('moveAndDrop', 'H')
agent PreviousPosition:AD, CurrentPosition:S --> g = 10849, h = 3610, f = 14459, action: ('moveAndDrop', 'S')
agent PreviousPosition:I, CurrentPosition:AD --> g = 10749, h = 3610, f = 14359, action: ('moveAndDrop', 'AD')
agent PreviousPosition:A, CurrentPosition:I --> g = 10599, h = 3610, f = 14209, action: ('moveAndDrop', 'I')
agent PreviousPosition:H, CurrentPosition:A --> g = 10479, h = 3610, f = 14089, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:H --> g = 10349, h = 3610, f = 13959, action: ('moveAndDrop', 'H')
agent PreviousPosition:O, CurrentPosition:C --> g = 10209, h = 3610, f = 13819, action: ('moveAndDrop', 'C')
agent PreviousPosition:AC, CurrentPosition:O --> g = 10099, h = 3610, f = 13709, action: ('moveAndDrop', 'O')
agent PreviousPosition:V, CurrentPosition:AC --> g = 9929, h = 3610, f = 13539, action: ('moveAndDrop', 'AC')
agent PreviousPosition:Z, CurrentPosition:V --> g = 9809, h = 3610, f = 13419, action: ('moveAndDrop', 'V')
agent PreviousPosition:I, CurrentPosition:Z --> g = 9689, h = 3610, f = 13299, action: ('moveAndDrop', 'Z')
agent PreviousPosition:L, CurrentPosition:I --> g = 9499, h = 3610, f = 13109, action: ('moveAndDrop', 'I')
agent PreviousPosition:O, CurrentPosition:L --> g = 9419, h = 3610, f = 13029, action: ('moveAndDrop', 'L')
agent PreviousPosition:S, CurrentPosition:O --> g = 9347, h = 3682, f = 13029, action: ('moveAndDrop', 'O')
agent PreviousPosition:I, CurrentPosition:S --> g = 9263, h = 3718, f = 12981, action: ('moveAndDrop', 'S')
agent PreviousPosition:Q, CurrentPosition:I --> g = 9107, h = 3706, f = 12813, action: ('moveAndDrop', 'I')
agent PreviousPosition:O, CurrentPosition:Q --> g = 8951, h = 3694, f = 12645, action: ('moveAndDrop', 'Q')
agent PreviousPosition:AD, CurrentPosition:O --> g = 8881, h = 3742, f = 12623, action: ('moveAndDrop', 'O')
agent PreviousPosition:AD, CurrentPosition:AD --> g = 8783, h = 3814, f = 12597, action: ('take', <package.Package instance at 0x7f11cbd02a70>)
agent PreviousPosition:H, CurrentPosition:AD --> g = 8781, h = 3814, f = 12595, action: ('moveAndDrop', 'AD')
agent PreviousPosition:S, CurrentPosition:H --> g = 8517, h = 3910, f = 12427, action: ('moveAndDrop', 'H')
agent PreviousPosition:A, CurrentPosition:S --> g = 8321, h = 3934, f = 12255, action: ('moveAndDrop', 'S')
agent PreviousPosition:E, CurrentPosition:A --> g = 8251, h = 3958, f = 12209, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 8139, h = 4006, f = 12145, action: ('take', <package.Package instance at 0x7f11cc632128>)
agent PreviousPosition:A, CurrentPosition:E --> g = 8137, h = 4006, f = 12143, action: ('moveAndDrop', 'E')
agent PreviousPosition:S, CurrentPosition:A --> g = 8041, h = 4006, f = 12047, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:S --> g = 7981, h = 4018, f = 11999, action: ('moveAndDrop', 'S')
agent PreviousPosition:S, CurrentPosition:A --> g = 7921, h = 4006, f = 11927, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:S --> g = 7851, h = 4078, f = 11929, action: ('moveAndDrop', 'S')
agent PreviousPosition:C, CurrentPosition:C --> g = 7767, h = 4078, f = 11845, action: ('take', <package.Package instance at 0x7f11cc2755a8>)
agent PreviousPosition:Q, CurrentPosition:C --> g = 7765, h = 4078, f = 11843, action: ('moveAndDrop', 'C')
agent PreviousPosition:O, CurrentPosition:Q --> g = 7669, h = 4102, f = 11771, action: ('moveAndDrop', 'Q')
agent PreviousPosition:U, CurrentPosition:O --> g = 7609, h = 4138, f = 11747, action: ('moveAndDrop', 'O')
agent PreviousPosition:O, CurrentPosition:U --> g = 7477, h = 4222, f = 11699, action: ('moveAndDrop', 'U')
agent PreviousPosition:O, CurrentPosition:O --> g = 7312, h = 4281, f = 11593, action: ('take', <package.Package instance at 0x7f11cc45f248>)
agent PreviousPosition:Q, CurrentPosition:O --> g = 7310, h = 4281, f = 11591, action: ('moveAndDrop', 'O')
agent PreviousPosition:Q, CurrentPosition:Q --> g = 7245, h = 4294, f = 11539, action: ('take', <package.Package instance at 0x7f11cbe79098>)
agent PreviousPosition:H, CurrentPosition:Q --> g = 7242, h = 4294, f = 11536, action: ('moveAndDrop', 'Q')
agent PreviousPosition:U, CurrentPosition:H --> g = 7082, h = 4294, f = 11376, action: ('moveAndDrop', 'H')
agent PreviousPosition:A, CurrentPosition:U --> g = 6862, h = 4294, f = 11156, action: ('moveAndDrop', 'U')
agent PreviousPosition:AD, CurrentPosition:A --> g = 6692, h = 4294, f = 10986, action: ('moveAndDrop', 'A')
agent PreviousPosition:I, CurrentPosition:AD --> g = 6562, h = 4294, f = 10856, action: ('moveAndDrop', 'AD')
agent PreviousPosition:AC, CurrentPosition:I --> g = 6412, h = 4294, f = 10706, action: ('moveAndDrop', 'I')
agent PreviousPosition:Z, CurrentPosition:AC --> g = 6222, h = 4294, f = 10516, action: ('moveAndDrop', 'AC')
agent PreviousPosition:Q, CurrentPosition:Z --> g = 6122, h = 4294, f = 10416, action: ('moveAndDrop', 'Z')
agent PreviousPosition:AC, CurrentPosition:Q --> g = 5942, h = 4294, f = 10236, action: ('moveAndDrop', 'Q')
agent PreviousPosition:L, CurrentPosition:AC --> g = 5762, h = 4294, f = 10056, action: ('moveAndDrop', 'AC')
agent PreviousPosition:Z, CurrentPosition:L --> g = 5630, h = 4426, f = 10056, action: ('moveAndDrop', 'L')
agent PreviousPosition:Q, CurrentPosition:Z --> g = 5498, h = 4414, f = 9912, action: ('moveAndDrop', 'Z')
agent PreviousPosition:L, CurrentPosition:Q --> g = 5282, h = 4510, f = 9792, action: ('moveAndDrop', 'Q')
agent PreviousPosition:AD, CurrentPosition:L --> g = 5184, h = 4510, f = 9694, action: ('moveAndDrop', 'L')
agent PreviousPosition:Z, CurrentPosition:AD --> g = 5058, h = 4630, f = 9688, action: ('moveAndDrop', 'AD')
agent PreviousPosition:V, CurrentPosition:Z --> g = 4778, h = 4630, f = 9408, action: ('moveAndDrop', 'Z')
agent PreviousPosition:V, CurrentPosition:V --> g = 4610, h = 4630, f = 9240, action: ('take', <package.Package instance at 0x7f11cc1faa70>)
agent PreviousPosition:V, CurrentPosition:V --> g = 4608, h = 4630, f = 9238, action: ('take', <package.Package instance at 0x7f11cc0103f8>)
agent PreviousPosition:AC, CurrentPosition:V --> g = 4606, h = 4630, f = 9236, action: ('moveAndDrop', 'V')
agent PreviousPosition:Z, CurrentPosition:AC --> g = 4486, h = 4630, f = 9116, action: ('moveAndDrop', 'AC')
agent PreviousPosition:E, CurrentPosition:Z --> g = 4386, h = 4630, f = 9016, action: ('moveAndDrop', 'Z')
agent PreviousPosition:S, CurrentPosition:E --> g = 4116, h = 4630, f = 8746, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:S --> g = 4026, h = 4630, f = 8656, action: ('moveAndDrop', 'S')
agent PreviousPosition:E, CurrentPosition:C --> g = 3966, h = 4630, f = 8596, action: ('moveAndDrop', 'C')
agent PreviousPosition:Q, CurrentPosition:E --> g = 3876, h = 4630, f = 8506, action: ('moveAndDrop', 'E')
agent PreviousPosition:AC, CurrentPosition:Q --> g = 3766, h = 4630, f = 8396, action: ('moveAndDrop', 'Q')
agent PreviousPosition:V, CurrentPosition:AC --> g = 3586, h = 4630, f = 8216, action: ('moveAndDrop', 'AC')
agent PreviousPosition:U, CurrentPosition:V --> g = 3466, h = 4630, f = 8096, action: ('moveAndDrop', 'V')
agent PreviousPosition:A, CurrentPosition:U --> g = 3306, h = 4630, f = 7936, action: ('moveAndDrop', 'U')
agent PreviousPosition:E, CurrentPosition:A --> g = 3136, h = 4630, f = 7766, action: ('moveAndDrop', 'A')
agent PreviousPosition:AC, CurrentPosition:E --> g = 3056, h = 4630, f = 7686, action: ('moveAndDrop', 'E')
agent PreviousPosition:L, CurrentPosition:AC --> g = 2786, h = 4630, f = 7416, action: ('moveAndDrop', 'AC')
agent PreviousPosition:V, CurrentPosition:L --> g = 2676, h = 4630, f = 7306, action: ('moveAndDrop', 'L')
agent PreviousPosition:U, CurrentPosition:V --> g = 2586, h = 4630, f = 7216, action: ('moveAndDrop', 'V')
agent PreviousPosition:A, CurrentPosition:U --> g = 2426, h = 4630, f = 7056, action: ('moveAndDrop', 'U')
agent PreviousPosition:L, CurrentPosition:A --> g = 2256, h = 4630, f = 6886, action: ('moveAndDrop', 'A')
agent PreviousPosition:V, CurrentPosition:L --> g = 2136, h = 4630, f = 6766, action: ('moveAndDrop', 'L')
agent PreviousPosition:AC, CurrentPosition:V --> g = 2046, h = 4630, f = 6676, action: ('moveAndDrop', 'V')
agent PreviousPosition:Z, CurrentPosition:AC --> g = 1926, h = 4630, f = 6556, action: ('moveAndDrop', 'AC')
agent PreviousPosition:L, CurrentPosition:Z --> g = 1826, h = 4630, f = 6456, action: ('moveAndDrop', 'Z')
agent PreviousPosition:C, CurrentPosition:L --> g = 1716, h = 4630, f = 6346, action: ('moveAndDrop', 'L')
agent PreviousPosition:H, CurrentPosition:C --> g = 1586, h = 4630, f = 6216, action: ('moveAndDrop', 'C')
agent PreviousPosition:I, CurrentPosition:H --> g = 1446, h = 4630, f = 6076, action: ('moveAndDrop', 'H')
agent PreviousPosition:V, CurrentPosition:I --> g = 1276, h = 4630, f = 5906, action: ('moveAndDrop', 'I')
agent PreviousPosition:L, CurrentPosition:V --> g = 1106, h = 4630, f = 5736, action: ('moveAndDrop', 'V')
agent PreviousPosition:E, CurrentPosition:L --> g = 1016, h = 4630, f = 5646, action: ('moveAndDrop', 'L')
agent PreviousPosition:V, CurrentPosition:E --> g = 856, h = 4630, f = 5486, action: ('moveAndDrop', 'E')
agent PreviousPosition:U, CurrentPosition:V --> g = 606, h = 4630, f = 5236, action: ('moveAndDrop', 'V')
agent PreviousPosition:I, CurrentPosition:U --> g = 446, h = 4630, f = 5076, action: ('moveAndDrop', 'U')
agent PreviousPosition:L, CurrentPosition:I --> g = 386, h = 4690, f = 5076, action: ('moveAndDrop', 'I')
agent PreviousPosition:S, CurrentPosition:L --> g = 290, h = 4714, f = 5004, action: ('moveAndDrop', 'L')
agent PreviousPosition:S, CurrentPosition:S --> g = 182, h = 4798, f = 4980, action: ('take', <package.Package instance at 0x7f11cc553bd8>)
agent PreviousPosition:L, CurrentPosition:S --> g = 180, h = 4798, f = 4978, action: ('moveAndDrop', 'S')
agent PreviousPosition:AD, CurrentPosition:L --> g = 90, h = 4798, f = 4888, action: ('moveAndDrop', 'L')
1 : moveAndDrop L
2 : moveAndDrop S
3 : take 1024
4 : moveAndDrop L
5 : moveAndDrop I
6 : moveAndDrop U
7 : moveAndDrop V
8 : moveAndDrop E
9 : moveAndDrop L
10 : moveAndDrop V
11 : moveAndDrop I
12 : moveAndDrop H
13 : moveAndDrop C
14 : moveAndDrop L
15 : moveAndDrop Z
16 : moveAndDrop AC
17 : moveAndDrop V
18 : moveAndDrop L
19 : moveAndDrop A
20 : moveAndDrop U
21 : moveAndDrop V
22 : moveAndDrop L
23 : moveAndDrop AC
24 : moveAndDrop E
25 : moveAndDrop A
26 : moveAndDrop U
27 : moveAndDrop V
28 : moveAndDrop AC
29 : moveAndDrop Q
30 : moveAndDrop E
31 : moveAndDrop C
32 : moveAndDrop S
33 : moveAndDrop E
34 : moveAndDrop Z
35 : moveAndDrop AC
36 : moveAndDrop V
37 : take 1010
38 : take 1011
39 : moveAndDrop Z
40 : moveAndDrop AD
41 : moveAndDrop L
42 : moveAndDrop Q
43 : moveAndDrop Z
44 : moveAndDrop L
45 : moveAndDrop AC
46 : moveAndDrop Q
47 : moveAndDrop Z
48 : moveAndDrop AC
49 : moveAndDrop I
50 : moveAndDrop AD
51 : moveAndDrop A
52 : moveAndDrop U
53 : moveAndDrop H
54 : moveAndDrop Q
55 : take 1007
56 : moveAndDrop O
57 : take 1027
58 : moveAndDrop U
59 : moveAndDrop O
60 : moveAndDrop Q
61 : moveAndDrop C
62 : take 1004
63 : moveAndDrop S
64 : moveAndDrop A
65 : moveAndDrop S
66 : moveAndDrop A
67 : moveAndDrop E
68 : take 1020
69 : moveAndDrop A
70 : moveAndDrop S
71 : moveAndDrop H
72 : moveAndDrop AD
73 : take 1016
74 : moveAndDrop O
75 : moveAndDrop Q
76 : moveAndDrop I
77 : moveAndDrop S
78 : moveAndDrop O
79 : moveAndDrop L
80 : moveAndDrop I
81 : moveAndDrop Z
82 : moveAndDrop V
83 : moveAndDrop AC
84 : moveAndDrop O
85 : moveAndDrop C
86 : moveAndDrop H
87 : moveAndDrop A
88 : moveAndDrop I
89 : moveAndDrop AD
90 : moveAndDrop S
91 : moveAndDrop H
92 : moveAndDrop V
93 : moveAndDrop C
94 : moveAndDrop Z
95 : moveAndDrop AD
96 : moveAndDrop Q
97 : moveAndDrop H
98 : moveAndDrop O
99 : moveAndDrop A
100 : moveAndDrop I
101 : moveAndDrop AC
102 : moveAndDrop L
103 : moveAndDrop C
104 : moveAndDrop E
105 : moveAndDrop H
106 : moveAndDrop AC
107 : moveAndDrop L
108 : moveAndDrop V
109 : moveAndDrop H
110 : moveAndDrop E
111 : moveAndDrop C
112 : moveAndDrop AD
113 : moveAndDrop H
114 : moveAndDrop AD
115 : moveAndDrop V
116 : moveAndDrop A
117 : moveAndDrop Q
118 : moveAndDrop I
119 : moveAndDrop V
120 : moveAndDrop Z
121 : moveAndDrop S
122 : moveAndDrop U
123 : moveAndDrop V
124 : moveAndDrop U
125 : moveAndDrop V
126 : moveAndDrop L
127 : moveAndDrop H
128 : moveAndDrop Z
129 : moveAndDrop C
130 : moveAndDrop V
131 : moveAndDrop S
132 : moveAndDrop H
133 : moveAndDrop S
134 : moveAndDrop Q
135 : moveAndDrop L
136 : moveAndDrop O
137 : moveAndDrop U
138 : moveAndDrop Z
139 : moveAndDrop H
140 : moveAndDrop S
141 : moveAndDrop AD
142 : moveAndDrop AC
143 : take 1015
144 : moveAndDrop L
145 : moveAndDrop S
146 : moveAndDrop AD
147 : take 1017
148 : moveAndDrop O
149 : moveAndDrop L
150 : take 1026
151 : moveAndDrop E
152 : moveAndDrop I
153 : moveAndDrop U
154 : moveAndDrop L
155 : take 1006
156 : moveAndDrop V
157 : moveAndDrop AD
158 : moveAndDrop O
159 : moveAndDrop U
160 : moveAndDrop AD
161 : moveAndDrop U
162 : moveAndDrop Q
163 : moveAndDrop C
164 : moveAndDrop AD
165 : take 1018
166 : moveAndDrop A
167 : moveAndDrop H
168 : moveAndDrop O
169 : moveAndDrop L
170 : moveAndDrop U
171 : moveAndDrop C
172 : moveAndDrop V
173 : moveAndDrop L
174 : moveAndDrop C
175 : moveAndDrop U
176 : moveAndDrop H
177 : moveAndDrop AC
178 : moveAndDrop Z
179 : moveAndDrop H
180 : moveAndDrop E
181 : moveAndDrop AD
182 : moveAndDrop S
183 : moveAndDrop AD
184 : moveAndDrop V
185 : moveAndDrop AC
186 : moveAndDrop E
187 : moveAndDrop V
188 : moveAndDrop Z
189 : moveAndDrop U
190 : moveAndDrop AC
191 : moveAndDrop V
192 : moveAndDrop Z
193 : moveAndDrop Q
194 : moveAndDrop V
195 : moveAndDrop AD
196 : moveAndDrop I
197 : moveAndDrop Z
198 : moveAndDrop A
199 : moveAndDrop O
200 : moveAndDrop H
201 : moveAndDrop I
202 : moveAndDrop E
203 : take 1021
204 : moveAndDrop O
205 : moveAndDrop E
206 : moveAndDrop O
207 : moveAndDrop A
208 : take 1000
209 : take 1009
210 : moveAndDrop E
211 : moveAndDrop O
212 : moveAndDrop U
213 : moveAndDrop I
214 : moveAndDrop S
215 : moveAndDrop I
216 : moveAndDrop AD
217 : moveAndDrop O
218 : moveAndDrop L
219 : moveAndDrop U
220 : moveAndDrop Q
221 : moveAndDrop A
222 : moveAndDrop AD
223 : moveAndDrop A
224 : moveAndDrop I
225 : moveAndDrop C
226 : moveAndDrop Q
227 : moveAndDrop H
228 : moveAndDrop U
229 : moveAndDrop V
230 : moveAndDrop Q
231 : moveAndDrop V
232 : moveAndDrop I
233 : moveAndDrop V
234 : moveAndDrop O
235 : moveAndDrop V
236 : moveAndDrop A
237 : moveAndDrop Z
238 : moveAndDrop L
239 : moveAndDrop A
240 : moveAndDrop C
241 : moveAndDrop O
242 : moveAndDrop E
243 : moveAndDrop C
244 : moveAndDrop AD
245 : moveAndDrop E
246 : moveAndDrop V
247 : moveAndDrop A
248 : moveAndDrop L
249 : moveAndDrop V
250 : moveAndDrop C
251 : moveAndDrop E
252 : moveAndDrop U
253 : moveAndDrop AC
254 : moveAndDrop Q
255 : moveAndDrop AC
256 : moveAndDrop V
257 : moveAndDrop S
258 : moveAndDrop A
259 : moveAndDrop I
260 : moveAndDrop AC
261 : moveAndDrop L
262 : moveAndDrop V
263 : moveAndDrop A
264 : moveAndDrop O
265 : moveAndDrop V
266 : moveAndDrop Q
267 : moveAndDrop H
268 : moveAndDrop E
269 : moveAndDrop U
270 : moveAndDrop Z
271 : take 1025
272 : moveAndDrop C
273 : moveAndDrop S
274 : moveAndDrop V
275 : moveAndDrop S
276 : moveAndDrop AD
277 : moveAndDrop S
278 : moveAndDrop E
279 : moveAndDrop A
280 : moveAndDrop S
281 : moveAndDrop O
282 : moveAndDrop A
283 : moveAndDrop AC
284 : moveAndDrop A
285 : moveAndDrop AD
286 : moveAndDrop C
287 : moveAndDrop O
288 : moveAndDrop L
289 : moveAndDrop E
290 : moveAndDrop U
291 : moveAndDrop AD
292 : moveAndDrop V
293 : moveAndDrop L
294 : moveAndDrop AD
295 : moveAndDrop Q
296 : moveAndDrop A
297 : moveAndDrop L
298 : moveAndDrop V
299 : moveAndDrop L
300 : moveAndDrop C
301 : moveAndDrop Z
302 : moveAndDrop L
303 : moveAndDrop O
304 : moveAndDrop Q
305 : moveAndDrop A
306 : moveAndDrop Z
307 : take 1012
308 : moveAndDrop I
309 : moveAndDrop Q
310 : moveAndDrop O
311 : moveAndDrop L
312 : moveAndDrop O
313 : moveAndDrop I
314 : moveAndDrop L
315 : moveAndDrop AD
316 : moveAndDrop Q
317 : moveAndDrop AD
318 : moveAndDrop A
319 : moveAndDrop O
320 : moveAndDrop AD
321 : moveAndDrop U
322 : moveAndDrop AC
323 : moveAndDrop O
324 : moveAndDrop V
325 : moveAndDrop S
326 : moveAndDrop V
327 : moveAndDrop O
328 : moveAndDrop Z
329 : moveAndDrop A
330 : moveAndDrop H
331 : moveAndDrop I
332 : moveAndDrop Q
333 : moveAndDrop V
334 : moveAndDrop Z
335 : moveAndDrop Q
336 : moveAndDrop L
337 : moveAndDrop A
338 : take 1001
339 : take 1008
340 : moveAndDrop E
341 : moveAndDrop S
342 : moveAndDrop I
343 : moveAndDrop U
344 : moveAndDrop E
345 : moveAndDrop AD
346 : moveAndDrop AC
347 : moveAndDrop V
348 : moveAndDrop AD
349 : moveAndDrop E
350 : moveAndDrop AD
351 : moveAndDrop U
352 : moveAndDrop H
353 : moveAndDrop C
354 : moveAndDrop V
355 : moveAndDrop U
356 : moveAndDrop O
357 : moveAndDrop AD
358 : moveAndDrop H
359 : moveAndDrop V
360 : moveAndDrop H
361 : moveAndDrop C
362 : moveAndDrop H
363 : moveAndDrop U
364 : moveAndDrop A
365 : moveAndDrop V
366 : moveAndDrop L
367 : moveAndDrop AD
368 : moveAndDrop E
369 : moveAndDrop AD
370 : moveAndDrop I
371 : moveAndDrop AC
372 : moveAndDrop H
373 : moveAndDrop I
374 : moveAndDrop Z
375 : moveAndDrop I
376 : moveAndDrop L
377 : moveAndDrop O
378 : moveAndDrop Q
379 : moveAndDrop H
380 : moveAndDrop E
381 : moveAndDrop L
382 : moveAndDrop I
383 : moveAndDrop U
384 : moveAndDrop H
385 : moveAndDrop A
386 : moveAndDrop I
387 : moveAndDrop U
388 : moveAndDrop AC
389 : moveAndDrop A
390 : moveAndDrop C
391 : moveAndDrop L
392 : moveAndDrop C
393 : moveAndDrop S
394 : moveAndDrop O
395 : moveAndDrop S
396 : moveAndDrop O
397 : moveAndDrop A
398 : moveAndDrop U
399 : moveAndDrop AD
400 : moveAndDrop L
401 : moveAndDrop Z
402 : moveAndDrop AC
403 : moveAndDrop AD
404 : moveAndDrop V
405 : moveAndDrop O
406 : moveAndDrop H
407 : moveAndDrop A
408 : moveAndDrop V
409 : moveAndDrop L
410 : moveAndDrop O
411 : moveAndDrop Z
412 : moveAndDrop L
413 : moveAndDrop AC
414 : moveAndDrop U
415 : moveAndDrop Z
416 : moveAndDrop H
417 : moveAndDrop V
418 : moveAndDrop O
419 : moveAndDrop S
420 : moveAndDrop E
421 : moveAndDrop AC
422 : moveAndDrop U
423 : moveAndDrop E
424 : take 1019
425 : moveAndDrop Z
426 : moveAndDrop AC
427 : moveAndDrop I
428 : moveAndDrop U
429 : moveAndDrop A
430 : moveAndDrop V
431 : moveAndDrop AD
432 : moveAndDrop E
433 : take 1003
434 : moveAndDrop H
435 : moveAndDrop AC
436 : moveAndDrop I
437 : moveAndDrop AC
438 : moveAndDrop S
439 : moveAndDrop AC
440 : take 1013
441 : take 1014
442 : moveAndDrop Q
443 : moveAndDrop C
444 : moveAndDrop O
445 : moveAndDrop I
446 : moveAndDrop H
447 : moveAndDrop C
