agent PreviousPosition:A, CurrentPosition:B --> g = 30054, h = 0, f = 30054, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 4855, h = 3313, f = 8168, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 4745, h = 3313, f = 8058, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 4723, h = 3335, f = 8058, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:E --> g = 4624, h = 3434, f = 8058, action: ('take', <package.Package instance at 0x20cafc8>)
agent PreviousPosition:D, CurrentPosition:E --> g = 4623, h = 3434, f = 8057, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:D --> g = 4601, h = 3456, f = 8057, action: ('take', <package.Package instance at 0x20bd3b0>)
agent PreviousPosition:C, CurrentPosition:D --> g = 4600, h = 3456, f = 8056, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:C --> g = 4560, h = 3456, f = 8016, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:D --> g = 4520, h = 3456, f = 7976, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:A --> g = 4430, h = 3456, f = 7886, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:D --> g = 4340, h = 3456, f = 7796, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:C --> g = 4300, h = 3456, f = 7756, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:B --> g = 4270, h = 3456, f = 7726, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:D --> g = 4200, h = 3456, f = 7656, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:B --> g = 4130, h = 3456, f = 7586, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 4040, h = 3456, f = 7496, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 3950, h = 3456, f = 7406, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:A --> g = 3930, h = 3456, f = 7386, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:D --> g = 3840, h = 3456, f = 7296, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:E --> g = 3820, h = 3456, f = 7276, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 3710, h = 3456, f = 7166, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:E --> g = 3600, h = 3456, f = 7056, action: ('moveAndDrop', 'E')
agent PreviousPosition:D, CurrentPosition:C --> g = 3540, h = 3456, f = 6996, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:D --> g = 3500, h = 3456, f = 6956, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:A --> g = 3410, h = 3456, f = 6866, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:B --> g = 3382, h = 3524, f = 6906, action: ('take', <package.Package instance at 0x1f9fdd0>)
agent PreviousPosition:C, CurrentPosition:B --> g = 3380, h = 3524, f = 6904, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:C --> g = 3344, h = 3590, f = 6934, action: ('take', <package.Package instance at 0x1e75d40>)
agent PreviousPosition:C, CurrentPosition:C --> g = 3343, h = 3626, f = 6969, action: ('take', <package.Package instance at 0x1f85fc8>)
agent PreviousPosition:A, CurrentPosition:C --> g = 3342, h = 3626, f = 6968, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:A --> g = 3292, h = 3626, f = 6918, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:C --> g = 3242, h = 3626, f = 6868, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:D --> g = 3202, h = 3626, f = 6828, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:A --> g = 3112, h = 3626, f = 6738, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:E --> g = 2991, h = 3747, f = 6738, action: ('take', <package.Package instance at 0x1f927e8>)
agent PreviousPosition:B, CurrentPosition:E --> g = 2990, h = 3747, f = 6737, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:B --> g = 2900, h = 3747, f = 6647, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:C --> g = 2870, h = 3747, f = 6617, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:E --> g = 2810, h = 3747, f = 6557, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:C --> g = 2750, h = 3747, f = 6497, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:E --> g = 2690, h = 3747, f = 6437, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:D --> g = 2670, h = 3747, f = 6417, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:B --> g = 2600, h = 3747, f = 6347, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:D --> g = 2530, h = 3747, f = 6277, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:B --> g = 2460, h = 3747, f = 6207, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:A --> g = 2440, h = 3747, f = 6187, action: ('moveAndDrop', 'A')
agent PreviousPosition:C, CurrentPosition:D --> g = 2350, h = 3747, f = 6097, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:C --> g = 2310, h = 3747, f = 6057, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:D --> g = 2270, h = 3747, f = 6017, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:A --> g = 2180, h = 3747, f = 5927, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:C --> g = 2130, h = 3747, f = 5877, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:A --> g = 2080, h = 3747, f = 5827, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:D --> g = 1990, h = 3747, f = 5737, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:B --> g = 1920, h = 3747, f = 5667, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:D --> g = 1850, h = 3747, f = 5597, action: ('moveAndDrop', 'D')
agent PreviousPosition:D, CurrentPosition:B --> g = 1780, h = 3747, f = 5527, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:D --> g = 1710, h = 3747, f = 5457, action: ('moveAndDrop', 'D')
agent PreviousPosition:B, CurrentPosition:A --> g = 1611, h = 3846, f = 5457, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 1587, h = 3846, f = 5433, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:E --> g = 1479, h = 3890, f = 5369, action: ('take', <package.Package instance at 0x1d51098>)
agent PreviousPosition:E, CurrentPosition:E --> g = 1478, h = 3890, f = 5368, action: ('take', <package.Package instance at 0x1d80bd8>)
agent PreviousPosition:D, CurrentPosition:E --> g = 1477, h = 3890, f = 5367, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:D --> g = 1455, h = 3912, f = 5367, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:B --> g = 1371, h = 4066, f = 5437, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:A --> g = 1347, h = 4110, f = 5457, action: ('take', <package.Package instance at 0x1d50128>)
agent PreviousPosition:A, CurrentPosition:A --> g = 1346, h = 4110, f = 5456, action: ('take', <package.Package instance at 0x1d607e8>)
agent PreviousPosition:C, CurrentPosition:A --> g = 1345, h = 4110, f = 5455, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:C --> g = 1295, h = 4110, f = 5405, action: ('moveAndDrop', 'C')
agent PreviousPosition:B, CurrentPosition:E --> g = 1235, h = 4110, f = 5345, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:B --> g = 1145, h = 4110, f = 5255, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:C --> g = 1115, h = 4110, f = 5225, action: ('moveAndDrop', 'C')
agent PreviousPosition:D, CurrentPosition:B --> g = 1085, h = 4110, f = 5195, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:D --> g = 1015, h = 4110, f = 5125, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:E --> g = 995, h = 4110, f = 5105, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:C --> g = 935, h = 4110, f = 5045, action: ('moveAndDrop', 'C')
agent PreviousPosition:B, CurrentPosition:A --> g = 875, h = 4170, f = 5045, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:B --> g = 849, h = 4168, f = 5017, action: ('take', <package.Package instance at 0x1ba75f0>)
agent PreviousPosition:E, CurrentPosition:B --> g = 847, h = 4168, f = 5015, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:E --> g = 730, h = 4465, f = 5195, action: ('take', <package.Package instance at 0x1c453f8>)
agent PreviousPosition:E, CurrentPosition:E --> g = 729, h = 4465, f = 5194, action: ('take', <package.Package instance at 0x1c4a9e0>)
agent PreviousPosition:E, CurrentPosition:E --> g = 728, h = 4465, f = 5193, action: ('take', <package.Package instance at 0x1d4d950>)
agent PreviousPosition:D, CurrentPosition:E --> g = 727, h = 4465, f = 5192, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:D --> g = 707, h = 4465, f = 5172, action: ('moveAndDrop', 'D')
agent PreviousPosition:C, CurrentPosition:E --> g = 687, h = 4465, f = 5152, action: ('moveAndDrop', 'E')
agent PreviousPosition:C, CurrentPosition:C --> g = 615, h = 4597, f = 5212, action: ('take', <package.Package instance at 0x1c1efc8>)
agent PreviousPosition:A, CurrentPosition:C --> g = 614, h = 4597, f = 5211, action: ('moveAndDrop', 'C')
agent PreviousPosition:A, CurrentPosition:A --> g = 559, h = 4652, f = 5211, action: ('take', <package.Package instance at 0x1c2edd0>)
agent PreviousPosition:B, CurrentPosition:A --> g = 558, h = 4652, f = 5210, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:B --> g = 534, h = 4676, f = 5210, action: ('take', <package.Package instance at 0x1c1bdd0>)
agent PreviousPosition:A, CurrentPosition:B --> g = 532, h = 4676, f = 5208, action: ('moveAndDrop', 'B')
agent PreviousPosition:D, CurrentPosition:A --> g = 512, h = 4676, f = 5188, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:D --> g = 413, h = 4775, f = 5188, action: ('moveAndDrop', 'D')
agent PreviousPosition:E, CurrentPosition:E --> g = 391, h = 4797, f = 5188, action: ('take', <package.Package instance at 0x1c365f0>)
agent PreviousPosition:B, CurrentPosition:E --> g = 390, h = 4797, f = 5187, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 300, h = 4797, f = 5097, action: ('moveAndDrop', 'B')
agent PreviousPosition:C, CurrentPosition:A --> g = 280, h = 4797, f = 5077, action: ('moveAndDrop', 'A')
agent PreviousPosition:D, CurrentPosition:C --> g = 230, h = 4797, f = 5027, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:D --> g = 190, h = 4797, f = 4987, action: ('moveAndDrop', 'D')
agent PreviousPosition:A, CurrentPosition:C --> g = 150, h = 4797, f = 4947, action: ('moveAndDrop', 'C')
agent PreviousPosition:C, CurrentPosition:A --> g = 100, h = 4797, f = 4897, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:C --> g = 50, h = 4797, f = 4847, action: ('moveAndDrop', 'C')
1 : moveAndDrop C
2 : moveAndDrop A
3 : moveAndDrop C
4 : moveAndDrop D
5 : moveAndDrop C
6 : moveAndDrop A
7 : moveAndDrop B
8 : moveAndDrop E
9 : take 6714
10 : moveAndDrop D
11 : moveAndDrop A
12 : moveAndDrop B
13 : take 2107
14 : moveAndDrop A
15 : take 4570
16 : moveAndDrop C
17 : take 1189
18 : moveAndDrop E
19 : moveAndDrop D
20 : moveAndDrop E
21 : take 6708
22 : take 6703
23 : take 6702
24 : moveAndDrop B
25 : take 2108
26 : moveAndDrop A
27 : moveAndDrop C
28 : moveAndDrop E
29 : moveAndDrop D
30 : moveAndDrop B
31 : moveAndDrop C
32 : moveAndDrop B
33 : moveAndDrop E
34 : moveAndDrop C
35 : moveAndDrop A
36 : take 4567
37 : take 4566
38 : moveAndDrop B
39 : moveAndDrop D
40 : moveAndDrop E
41 : take 6712
42 : take 6715
43 : moveAndDrop B
44 : moveAndDrop A
45 : moveAndDrop D
46 : moveAndDrop B
47 : moveAndDrop D
48 : moveAndDrop B
49 : moveAndDrop D
50 : moveAndDrop A
51 : moveAndDrop C
52 : moveAndDrop A
53 : moveAndDrop D
54 : moveAndDrop C
55 : moveAndDrop D
56 : moveAndDrop A
57 : moveAndDrop B
58 : moveAndDrop D
59 : moveAndDrop B
60 : moveAndDrop D
61 : moveAndDrop E
62 : moveAndDrop C
63 : moveAndDrop E
64 : moveAndDrop C
65 : moveAndDrop B
66 : moveAndDrop E
67 : take 6704
68 : moveAndDrop A
69 : moveAndDrop D
70 : moveAndDrop C
71 : moveAndDrop A
72 : moveAndDrop C
73 : take 1165
74 : take 1166
75 : moveAndDrop B
76 : take 2113
77 : moveAndDrop A
78 : moveAndDrop D
79 : moveAndDrop C
80 : moveAndDrop E
81 : moveAndDrop A
82 : moveAndDrop E
83 : moveAndDrop D
84 : moveAndDrop A
85 : moveAndDrop B
86 : moveAndDrop E
87 : moveAndDrop B
88 : moveAndDrop D
89 : moveAndDrop B
90 : moveAndDrop C
91 : moveAndDrop D
92 : moveAndDrop A
93 : moveAndDrop D
94 : moveAndDrop C
95 : moveAndDrop D
96 : take 7655
97 : moveAndDrop E
98 : take 6711
99 : moveAndDrop B
100 : moveAndDrop A
101 : moveAndDrop E
102 : moveAndDrop C
103 : moveAndDrop E
104 : take 6700
105 : moveAndDrop B
106 : moveAndDrop A
107 : moveAndDrop B
108 : moveAndDrop D
109 : moveAndDrop B
110 : moveAndDrop D
111 : moveAndDrop E
112 : moveAndDrop D
113 : take 1124
114 : moveAndDrop E
115 : moveAndDrop A
116 : moveAndDrop E
117 : moveAndDrop D
118 : moveAndDrop B
119 : moveAndDrop A
120 : moveAndDrop C
121 : take 1172
122 : take 1169
123 : moveAndDrop A
124 : moveAndDrop B
125 : moveAndDrop C
126 : moveAndDrop D
127 : moveAndDrop C
128 : moveAndDrop A
129 : moveAndDrop D
130 : moveAndDrop C
131 : moveAndDrop E
132 : moveAndDrop D
133 : moveAndDrop C
134 : moveAndDrop A
135 : take 4569
136 : moveAndDrop B
137 : moveAndDrop D
138 : take 8888
139 : take 8172
140 : moveAndDrop C
141 : moveAndDrop A
142 : moveAndDrop C
143 : moveAndDrop D
144 : take 7777
145 : take 2312
146 : moveAndDrop A
147 : moveAndDrop B
148 : moveAndDrop E
149 : take 6710
150 : moveAndDrop A
151 : take 4573
152 : moveAndDrop B
153 : moveAndDrop C
154 : moveAndDrop A
155 : moveAndDrop E
156 : moveAndDrop A
157 : take 4571
158 : moveAndDrop D
159 : moveAndDrop E
160 : take 6707
161 : moveAndDrop A
162 : moveAndDrop D
163 : moveAndDrop E
164 : moveAndDrop B
165 : moveAndDrop C
166 : moveAndDrop E
167 : take 6706
168 : moveAndDrop C
169 : moveAndDrop A
170 : take 4568
171 : moveAndDrop B
172 : take 2103
173 : moveAndDrop A
174 : moveAndDrop E
175 : moveAndDrop D
176 : moveAndDrop E
177 : moveAndDrop D
178 : moveAndDrop E
179 : moveAndDrop B
180 : moveAndDrop D
181 : moveAndDrop A
182 : moveAndDrop D
183 : moveAndDrop A
184 : take 4572
185 : moveAndDrop B
186 : moveAndDrop C
187 : moveAndDrop D
188 : moveAndDrop A
189 : moveAndDrop E
190 : take 6705
191 : moveAndDrop C
192 : moveAndDrop A
193 : moveAndDrop B
194 : take 2111
195 : take 2102
196 : moveAndDrop D
197 : moveAndDrop E
198 : moveAndDrop B
199 : moveAndDrop A
200 : moveAndDrop E
201 : take 6713
202 : moveAndDrop B
203 : take 2109
204 : take 2105
205 : moveAndDrop C
206 : moveAndDrop B
207 : moveAndDrop E
208 : take 6701
209 : moveAndDrop B
210 : moveAndDrop A
211 : moveAndDrop E
212 : take 6709
213 : moveAndDrop A
214 : moveAndDrop B
215 : moveAndDrop E
216 : moveAndDrop B
217 : take 2116
218 : take 2104
219 : moveAndDrop A
220 : moveAndDrop B
221 : take 2112
222 : take 2110
223 : moveAndDrop A
224 : moveAndDrop D
225 : moveAndDrop A
226 : moveAndDrop C
227 : moveAndDrop B
228 : take 2106
229 : take 2115
230 : moveAndDrop A
231 : moveAndDrop D
232 : moveAndDrop E
233 : moveAndDrop A
234 : moveAndDrop E
235 : moveAndDrop D
236 : moveAndDrop A
237 : moveAndDrop E
238 : moveAndDrop D
239 : moveAndDrop B
240 : take 2114
241 : moveAndDrop D
242 : moveAndDrop B
243 : moveAndDrop E
244 : moveAndDrop D
245 : moveAndDrop B
246 : moveAndDrop E
247 : moveAndDrop D
248 : moveAndDrop A
249 : moveAndDrop C
250 : moveAndDrop E
251 : moveAndDrop D
252 : moveAndDrop A
253 : moveAndDrop C
254 : moveAndDrop E
255 : moveAndDrop A
256 : moveAndDrop B
257 : moveAndDrop A
258 : moveAndDrop D
259 : moveAndDrop B
260 : moveAndDrop A
261 : moveAndDrop B
262 : moveAndDrop A
263 : moveAndDrop C
264 : take 1174
265 : take 1183
266 : moveAndDrop E
267 : moveAndDrop A
268 : moveAndDrop B
269 : moveAndDrop D
270 : moveAndDrop C
271 : moveAndDrop A
272 : moveAndDrop B
273 : moveAndDrop A
274 : moveAndDrop E
275 : moveAndDrop A
276 : moveAndDrop C
277 : moveAndDrop E
278 : moveAndDrop B
279 : moveAndDrop E
280 : moveAndDrop B
281 : moveAndDrop D
282 : moveAndDrop E
283 : moveAndDrop D
284 : moveAndDrop C
285 : moveAndDrop D
286 : moveAndDrop B
287 : moveAndDrop D
288 : moveAndDrop E
289 : moveAndDrop D
290 : moveAndDrop A
291 : moveAndDrop B
292 : moveAndDrop D
293 : moveAndDrop A
294 : moveAndDrop B
295 : moveAndDrop E
296 : moveAndDrop A
297 : moveAndDrop E
298 : moveAndDrop A
299 : moveAndDrop C
300 : moveAndDrop B
301 : moveAndDrop D
302 : moveAndDrop C
303 : moveAndDrop A
304 : moveAndDrop B
305 : moveAndDrop A
306 : moveAndDrop C
307 : moveAndDrop D
308 : moveAndDrop C
309 : take 1175
310 : take 1178
311 : moveAndDrop B
312 : moveAndDrop A
313 : moveAndDrop D
314 : moveAndDrop A
315 : moveAndDrop B
316 : moveAndDrop A
317 : moveAndDrop B
318 : moveAndDrop D
319 : moveAndDrop C
320 : moveAndDrop E
321 : moveAndDrop A
322 : moveAndDrop D
323 : moveAndDrop A
324 : moveAndDrop B
325 : moveAndDrop E
326 : moveAndDrop B
327 : moveAndDrop D
328 : moveAndDrop A
329 : moveAndDrop B
330 : moveAndDrop D
331 : moveAndDrop B
332 : moveAndDrop E
333 : moveAndDrop A
334 : moveAndDrop B
335 : moveAndDrop C
336 : moveAndDrop E
337 : moveAndDrop D
338 : moveAndDrop B
339 : moveAndDrop C
340 : moveAndDrop E
341 : moveAndDrop B
342 : moveAndDrop A
343 : moveAndDrop B
344 : moveAndDrop C
345 : take 1180
346 : moveAndDrop E
347 : moveAndDrop A
348 : moveAndDrop B
349 : moveAndDrop E
350 : moveAndDrop B
351 : moveAndDrop C
352 : moveAndDrop D
353 : moveAndDrop B
354 : moveAndDrop A
355 : moveAndDrop D
356 : moveAndDrop A
357 : moveAndDrop E
358 : moveAndDrop D
359 : moveAndDrop E
360 : moveAndDrop A
361 : moveAndDrop C
362 : moveAndDrop A
363 : moveAndDrop E
364 : moveAndDrop C
365 : moveAndDrop B
366 : moveAndDrop A
367 : moveAndDrop D
368 : moveAndDrop B
369 : moveAndDrop E
370 : moveAndDrop D
371 : moveAndDrop C
372 : moveAndDrop A
373 : moveAndDrop E
374 : moveAndDrop D
375 : moveAndDrop C
376 : take 1186
377 : moveAndDrop E
378 : moveAndDrop C
379 : take 1187
380 : moveAndDrop A
381 : moveAndDrop D
382 : moveAndDrop B
383 : moveAndDrop D
384 : moveAndDrop C
385 : take 1184
386 : moveAndDrop A
387 : moveAndDrop E
388 : moveAndDrop B
389 : moveAndDrop D
390 : moveAndDrop A
391 : moveAndDrop C
392 : take 1177
393 : moveAndDrop D
394 : moveAndDrop E
395 : moveAndDrop B
396 : moveAndDrop E
397 : moveAndDrop D
398 : moveAndDrop B
399 : moveAndDrop C
400 : moveAndDrop D
401 : moveAndDrop A
402 : moveAndDrop B
403 : moveAndDrop A
404 : moveAndDrop E
405 : moveAndDrop A
406 : moveAndDrop D
407 : moveAndDrop A
408 : moveAndDrop E
409 : moveAndDrop D
410 : moveAndDrop A
411 : moveAndDrop E
412 : moveAndDrop B
413 : moveAndDrop D
414 : moveAndDrop E
415 : moveAndDrop C
416 : moveAndDrop E
417 : moveAndDrop C
418 : moveAndDrop D
419 : moveAndDrop E
420 : moveAndDrop A
421 : moveAndDrop B
422 : moveAndDrop A
423 : moveAndDrop E
424 : moveAndDrop C
425 : take 1168
426 : moveAndDrop E
427 : moveAndDrop D
428 : moveAndDrop E
429 : moveAndDrop D
430 : moveAndDrop C
431 : moveAndDrop B
432 : moveAndDrop C
433 : moveAndDrop D
434 : moveAndDrop C
435 : take 1181
436 : moveAndDrop B
437 : moveAndDrop A
438 : moveAndDrop D
439 : moveAndDrop A
440 : moveAndDrop C
441 : moveAndDrop B
442 : moveAndDrop A
443 : moveAndDrop B
444 : moveAndDrop A
445 : moveAndDrop D
446 : moveAndDrop E
447 : moveAndDrop A
448 : moveAndDrop C
449 : take 1171
450 : take 1167
451 : moveAndDrop D
452 : moveAndDrop E
453 : moveAndDrop B
454 : moveAndDrop E
455 : moveAndDrop B
456 : moveAndDrop A
457 : moveAndDrop B
458 : moveAndDrop E
459 : moveAndDrop C
460 : take 1182
461 : moveAndDrop B
462 : moveAndDrop D
463 : moveAndDrop E
464 : moveAndDrop B
465 : moveAndDrop D
466 : moveAndDrop A
467 : moveAndDrop E
468 : moveAndDrop C
469 : moveAndDrop D
470 : moveAndDrop E
471 : moveAndDrop B
472 : moveAndDrop E
473 : moveAndDrop B
474 : moveAndDrop D
475 : moveAndDrop C
476 : moveAndDrop A
477 : moveAndDrop D
478 : moveAndDrop C
479 : take 1185
480 : moveAndDrop B
481 : moveAndDrop D
482 : moveAndDrop B
483 : moveAndDrop D
484 : moveAndDrop A
485 : moveAndDrop E
486 : moveAndDrop C
487 : moveAndDrop B
488 : moveAndDrop C
489 : moveAndDrop D
490 : moveAndDrop E
491 : moveAndDrop A
492 : moveAndDrop D
493 : moveAndDrop B
494 : moveAndDrop D
495 : moveAndDrop E
496 : moveAndDrop C
497 : moveAndDrop D
498 : moveAndDrop A
499 : moveAndDrop D
500 : moveAndDrop E
501 : moveAndDrop D
502 : moveAndDrop E
503 : moveAndDrop C
504 : moveAndDrop A
505 : moveAndDrop D
506 : moveAndDrop B
507 : moveAndDrop C
508 : moveAndDrop B
509 : moveAndDrop E
510 : moveAndDrop B
511 : moveAndDrop A
512 : moveAndDrop B
513 : moveAndDrop D
514 : moveAndDrop A
515 : moveAndDrop E
516 : moveAndDrop D
517 : moveAndDrop C
518 : moveAndDrop D
519 : moveAndDrop A
520 : moveAndDrop D
521 : moveAndDrop A
522 : moveAndDrop D
523 : moveAndDrop C
524 : moveAndDrop D
525 : moveAndDrop C
526 : moveAndDrop E
527 : moveAndDrop C
528 : moveAndDrop D
529 : moveAndDrop C
530 : moveAndDrop E
531 : moveAndDrop C
532 : moveAndDrop A
533 : moveAndDrop D
534 : moveAndDrop E
535 : moveAndDrop C
536 : take 1162
537 : take 1176
538 : moveAndDrop B
539 : moveAndDrop A
540 : moveAndDrop D
541 : moveAndDrop B
542 : moveAndDrop E
543 : moveAndDrop B
544 : moveAndDrop E
545 : moveAndDrop B
546 : moveAndDrop C
547 : moveAndDrop E
548 : moveAndDrop B
549 : moveAndDrop D
550 : moveAndDrop B
551 : moveAndDrop A
552 : moveAndDrop D
553 : moveAndDrop E
554 : moveAndDrop B
555 : moveAndDrop C
556 : take 1179
557 : moveAndDrop B
558 : moveAndDrop E
559 : moveAndDrop B
560 : moveAndDrop D
561 : moveAndDrop E
562 : moveAndDrop A
563 : moveAndDrop B
564 : moveAndDrop C
565 : take 1188
566 : moveAndDrop B
567 : moveAndDrop C
568 : take 1170
569 : moveAndDrop B
570 : moveAndDrop C
571 : moveAndDrop E
572 : moveAndDrop C
573 : moveAndDrop A
574 : moveAndDrop D
575 : moveAndDrop C
576 : moveAndDrop D
577 : moveAndDrop C
578 : take 1173
579 : moveAndDrop A
580 : moveAndDrop B
WASTED ENERGY: 30054
