agent PreviousPosition:B, CurrentPosition:A --> g = 79021, h = 0, f = 79021, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 40998, h = 4359, f = 45357, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 40918, h = 4359, f = 45277, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 40828, h = 4359, f = 45187, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 40778, h = 4359, f = 45137, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:F --> g = 40678, h = 4359, f = 45037, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 40588, h = 4359, f = 44947, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 40498, h = 4359, f = 44857, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 40418, h = 4359, f = 44777, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:F --> g = 40338, h = 4359, f = 44697, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 40248, h = 4359, f = 44607, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 40158, h = 4359, f = 44517, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 40068, h = 4359, f = 44427, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 39978, h = 4359, f = 44337, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 39888, h = 4359, f = 44247, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 39798, h = 4359, f = 44157, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 39698, h = 4359, f = 44057, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 39598, h = 4359, f = 43957, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 39498, h = 4359, f = 43857, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 39398, h = 4359, f = 43757, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 39318, h = 4359, f = 43677, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:E --> g = 39238, h = 4359, f = 43597, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 39138, h = 4359, f = 43497, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 39088, h = 4359, f = 43447, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 39038, h = 4359, f = 43397, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 38988, h = 4359, f = 43347, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 38898, h = 4359, f = 43257, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:F --> g = 38810, h = 4447, f = 43257, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 38711, h = 4458, f = 43169, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 38594, h = 4645, f = 43239, action: ('take', <package.Package instance at 0x3a04680>)
agent PreviousPosition:F, CurrentPosition:F --> g = 38593, h = 4645, f = 43238, action: ('take', <package.Package instance at 0x3a09fc8>)
agent PreviousPosition:F, CurrentPosition:F --> g = 38592, h = 4645, f = 43237, action: ('take', <package.Package instance at 0x3a19e60>)
agent PreviousPosition:A, CurrentPosition:F --> g = 38591, h = 4753, f = 43344, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 38501, h = 4753, f = 43254, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 38451, h = 4753, f = 43204, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 38401, h = 4753, f = 43154, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 38311, h = 4753, f = 43064, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 38231, h = 4753, f = 42984, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 38151, h = 4753, f = 42904, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 38071, h = 4753, f = 42824, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 37981, h = 4753, f = 42734, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 37931, h = 4753, f = 42684, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:F --> g = 37831, h = 4753, f = 42584, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:B --> g = 37731, h = 4753, f = 42484, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:F --> g = 37631, h = 4753, f = 42384, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:B --> g = 37531, h = 4753, f = 42284, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:F --> g = 37431, h = 4753, f = 42184, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 37341, h = 4753, f = 42094, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 37251, h = 4753, f = 42004, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 37161, h = 4753, f = 41914, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 37111, h = 4753, f = 41864, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 37061, h = 4753, f = 41814, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 36971, h = 4753, f = 41724, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 36891, h = 4753, f = 41644, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 36811, h = 4753, f = 41564, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:E --> g = 36731, h = 4753, f = 41484, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:B --> g = 36631, h = 4753, f = 41384, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:F --> g = 36531, h = 4753, f = 41284, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 36441, h = 4753, f = 41194, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 36351, h = 4753, f = 41104, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 36271, h = 4753, f = 41024, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 36191, h = 4753, f = 40944, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 36091, h = 4753, f = 40844, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 36041, h = 4753, f = 40794, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 35951, h = 4753, f = 40704, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 35871, h = 4753, f = 40624, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 35781, h = 4753, f = 40534, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 35691, h = 4753, f = 40444, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 35611, h = 4753, f = 40364, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:B --> g = 35511, h = 4753, f = 40264, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:F --> g = 35411, h = 4753, f = 40164, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 35321, h = 4753, f = 40074, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 35231, h = 4753, f = 39984, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 35131, h = 4753, f = 39884, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 35081, h = 4753, f = 39834, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 34991, h = 4753, f = 39744, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 34901, h = 4753, f = 39654, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 34846, h = 4808, f = 39654, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 34726, h = 4962, f = 39688, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 34630, h = 4962, f = 39592, action: ('take', <package.Package instance at 0x36e4fc8>)
agent PreviousPosition:F, CurrentPosition:F --> g = 34629, h = 4962, f = 39591, action: ('take', <package.Package instance at 0x36e4680>)
agent PreviousPosition:E, CurrentPosition:F --> g = 34628, h = 4962, f = 39590, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:E --> g = 34548, h = 4962, f = 39510, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:B --> g = 34448, h = 4962, f = 39410, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:F --> g = 34348, h = 4962, f = 39310, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 34248, h = 4962, f = 39210, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 34198, h = 4962, f = 39160, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:F --> g = 34108, h = 4962, f = 39070, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:B --> g = 34008, h = 4962, f = 38970, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:F --> g = 33908, h = 4962, f = 38870, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 33818, h = 4962, f = 38780, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 33768, h = 4962, f = 38730, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 33718, h = 4962, f = 38680, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 33628, h = 4962, f = 38590, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 33528, h = 4962, f = 38490, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 33428, h = 4962, f = 38390, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 33338, h = 4962, f = 38300, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 33288, h = 4962, f = 38250, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 33188, h = 4962, f = 38150, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 33098, h = 4962, f = 38060, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 33008, h = 4962, f = 37970, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 32918, h = 4962, f = 37880, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 32828, h = 4962, f = 37790, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 32738, h = 4962, f = 37700, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 32683, h = 5017, f = 37700, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:F --> g = 32573, h = 5061, f = 37634, action: ('take', <package.Package instance at 0x33fafc8>)
agent PreviousPosition:E, CurrentPosition:F --> g = 32572, h = 5061, f = 37633, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 32492, h = 5061, f = 37553, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:F --> g = 32412, h = 5061, f = 37473, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 32322, h = 5061, f = 37383, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 32223, h = 5160, f = 37383, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 32135, h = 5160, f = 37295, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:F --> g = 32047, h = 5160, f = 37207, action: ('take', <package.Package instance at 0x33e37a0>)
agent PreviousPosition:B, CurrentPosition:F --> g = 32046, h = 5160, f = 37206, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 31946, h = 5160, f = 37106, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 31896, h = 5160, f = 37056, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 31806, h = 5160, f = 36966, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 31706, h = 5160, f = 36866, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 31656, h = 5160, f = 36816, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 31566, h = 5160, f = 36726, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 31466, h = 5160, f = 36626, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 31366, h = 5160, f = 36526, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 31276, h = 5160, f = 36436, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 31226, h = 5160, f = 36386, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:F --> g = 31126, h = 5160, f = 36286, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 31026, h = 5160, f = 36186, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 30976, h = 5160, f = 36136, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 30926, h = 5160, f = 36086, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 30876, h = 5160, f = 36036, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 30786, h = 5160, f = 35946, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 30696, h = 5160, f = 35856, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 30646, h = 5160, f = 35806, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:A --> g = 30596, h = 5160, f = 35756, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 30506, h = 5160, f = 35666, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 30426, h = 5160, f = 35586, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 30346, h = 5160, f = 35506, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 30266, h = 5160, f = 35426, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 30166, h = 5160, f = 35326, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 30066, h = 5160, f = 35226, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 29976, h = 5160, f = 35136, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 29886, h = 5160, f = 35046, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 29796, h = 5160, f = 34956, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 29706, h = 5160, f = 34866, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 29606, h = 5160, f = 34766, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 29556, h = 5160, f = 34716, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 29506, h = 5160, f = 34666, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:E --> g = 29406, h = 5160, f = 34566, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 29306, h = 5160, f = 34466, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 29206, h = 5160, f = 34366, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 29126, h = 5160, f = 34286, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 29046, h = 5160, f = 34206, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 28956, h = 5160, f = 34116, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 28866, h = 5160, f = 34026, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 28776, h = 5160, f = 33936, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:B --> g = 28726, h = 5160, f = 33886, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 28626, h = 5160, f = 33786, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 28536, h = 5160, f = 33696, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 28446, h = 5160, f = 33606, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 28366, h = 5160, f = 33526, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 28286, h = 5160, f = 33446, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 28196, h = 5160, f = 33356, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 28106, h = 5160, f = 33266, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:B --> g = 28006, h = 5160, f = 33166, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:E --> g = 27906, h = 5160, f = 33066, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 27826, h = 5160, f = 32986, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 27746, h = 5160, f = 32906, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:A --> g = 27656, h = 5160, f = 32816, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 27566, h = 5160, f = 32726, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 27486, h = 5160, f = 32646, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:E --> g = 27406, h = 5160, f = 32566, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:B --> g = 27306, h = 5160, f = 32466, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:F --> g = 27206, h = 5160, f = 32366, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 27116, h = 5160, f = 32276, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 27026, h = 5160, f = 32186, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 26916, h = 5270, f = 32186, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 26861, h = 5259, f = 32120, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 26762, h = 5248, f = 32010, action: ('take', <package.Package instance at 0x2f29f80>)
agent PreviousPosition:A, CurrentPosition:F --> g = 26761, h = 5248, f = 32009, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 26671, h = 5248, f = 31919, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 26581, h = 5248, f = 31829, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 26491, h = 5248, f = 31739, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 26441, h = 5248, f = 31689, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 26386, h = 5303, f = 31689, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 26287, h = 5358, f = 31645, action: ('take', <package.Package instance at 0x2f14fc8>)
agent PreviousPosition:A, CurrentPosition:F --> g = 26286, h = 5358, f = 31644, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 26196, h = 5358, f = 31554, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:E --> g = 26106, h = 5358, f = 31464, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 26016, h = 5358, f = 31374, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 25926, h = 5358, f = 31284, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 25846, h = 5358, f = 31204, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 25766, h = 5358, f = 31124, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 25686, h = 5358, f = 31044, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 25606, h = 5358, f = 30964, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 25526, h = 5358, f = 30884, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 25446, h = 5358, f = 30804, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:B --> g = 25346, h = 5358, f = 30704, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:F --> g = 25246, h = 5358, f = 30604, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 25166, h = 5358, f = 30524, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:F --> g = 25086, h = 5358, f = 30444, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 24996, h = 5358, f = 30354, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 24906, h = 5358, f = 30264, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 24826, h = 5358, f = 30184, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 24746, h = 5358, f = 30104, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 24646, h = 5358, f = 30004, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 24596, h = 5358, f = 29954, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 24506, h = 5358, f = 29864, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 24416, h = 5358, f = 29774, action: ('moveAndDrop', 'A')
agent PreviousPosition:B, CurrentPosition:E --> g = 24326, h = 5358, f = 29684, action: ('moveAndDrop', 'E')
agent PreviousPosition:A, CurrentPosition:B --> g = 24226, h = 5358, f = 29584, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:A --> g = 24176, h = 5358, f = 29534, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 24086, h = 5358, f = 29444, action: ('moveAndDrop', 'F')
agent PreviousPosition:B, CurrentPosition:A --> g = 23996, h = 5358, f = 29354, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 23941, h = 5413, f = 29354, action: ('moveAndDrop', 'B')
agent PreviousPosition:F, CurrentPosition:F --> g = 23831, h = 5457, f = 29288, action: ('take', <package.Package instance at 0x2c12ef0>)
agent PreviousPosition:A, CurrentPosition:F --> g = 23830, h = 5457, f = 29287, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:A --> g = 23740, h = 5457, f = 29197, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:E --> g = 23650, h = 5457, f = 29107, action: ('moveAndDrop', 'E')
agent PreviousPosition:E, CurrentPosition:F --> g = 23570, h = 5457, f = 29027, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 23490, h = 5457, f = 28947, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 23400, h = 5457, f = 28857, action: ('moveAndDrop', 'A')
agent PreviousPosition:E, CurrentPosition:F --> g = 23310, h = 5457, f = 28767, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:E --> g = 23230, h = 5457, f = 28687, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:F --> g = 23150, h = 5457, f = 28607, action: ('moveAndDrop', 'F')
agent PreviousPosition:E, CurrentPosition:B --> g = 23050, h = 5457, f = 28507, action: ('moveAndDrop', 'B')
agent PreviousPosition:A, CurrentPosition:E --> g = 22950, h = 5457, f = 28407, action: ('moveAndDrop', 'E')
agent PreviousPosition:B, CurrentPosition:A --> g = 22860, h = 5457, f = 28317, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:B --> g = 22810, h = 5457, f = 28267, action: ('moveAndDrop', 'B')
agent PreviousPosition:E, CurrentPosition:F --> g = 22710, h = 5457, f = 28167, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:E --> g = 22630, h = 5457, f = 28087, action: ('moveAndDrop', 'E')
agent PreviousPosition:F, CurrentPosition:A --> g = 22531, h = 5556, f = 28087, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:F --> g = 22432, h = 5545, f = 27977, action: ('moveAndDrop', 'F')
agent PreviousPosition:F, CurrentPosition:A --> g = 22333, h = 5556, f = 27889, action: ('moveAndDrop', 'A')
agent PreviousPosition:F, CurrentPosition:F --> g = 22234, h = 5545, f = 27779, action: ('take', <package.Package instance at 0x2a90fc8>)
agent PreviousPosition:B, CurrentPosition:F --> g = 22233, h = 5545, f = 27778, action: ('moveAndDrop', 'F')
agent PreviousPosition:A, CurrentPosition:B --> g = 22133, h = 5545, f = 27678, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 22083, h = 5545, f = 27628, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 22033, h = 5545, f = 27578, action: ('moveAndDrop', 'B')
agent PreviousPosition:B, CurrentPosition:A --> g = 21983, h = 5545, f = 27528, action: ('moveAndDrop', 'A')
agent PreviousPosition:A, CurrentPosition:B --> g = 21933, h = 5545, f = 27478, action: ('moveAndDrop', 'B')
